event_id,1_moduleMap_gpu_time,1_moduleMap_time,4_preprocess_gpu_time,4_preprocess_time,5_interactionGNN2_gpu_time,5_interactionGNN2_time,6_cCInfer_gpu_time,6_cCInfer_time,7_num_edges_bg,7_num_edges_gnn,8_num_scores_above_threshold,num_nodes,total_event,total_event_gpu
005000901,22.465521484375,22.46555233001709,0.009740127563476562,0.009782552719116211,0.9318836669921875,0.9319155216217041,0.007819712162017822,0.007871866226196289,1835314,1835314,29928.0,309404,23.492573976516724,23.492583984375
005000902,23.95313671875,23.953163862228394,0.0048072638511657715,0.004840850830078125,1.06629736328125,1.0663254261016846,0.008524352073669434,0.008567333221435547,2063486,2063486,32714.0,326867,25.081003427505493,25.081015625
005000903,21.790009765625,21.7900447845459,0.004425151824951172,0.004464864730834961,1.0827530517578126,1.0827820301055908,0.007519167900085449,0.0075643062591552734,1702483,1702483,27206.0,299885,22.92888069152832,22.9288984375
005000904,24.820087890625,24.82010006904602,0.004774432182312011,0.0048143863677978516,0.8954010009765625,0.8954298496246338,0.031668895721435546,0.03171205520629883,2132665,2132665,33616.0,330604,25.808825254440308,25.808849609375
005000905,20.354701171875,20.354723691940308,0.004317535877227783,0.004354238510131836,0.8163776245117188,0.8164081573486328,0.0070488638877868656,0.007093191146850586,1581492,1581492,25860.0,290013,21.223196029663086,21.22319921875
005000906,25.111390625,25.11140751838684,0.00476582384109497,0.00480198860168457,0.944211181640625,0.9442381858825684,0.008705792427062988,0.008748531341552734,2232171,2232171,34539.0,339279,26.122955560684204,26.122984375
005000907,20.477337890625,20.47736668586731,0.00429852819442749,0.004336833953857422,0.81576708984375,0.8157975673675537,0.029362495422363282,0.02940964698791504,1582092,1582092,25764.0,289327,21.373631238937378,21.37363671875
005000908,23.864232421875,23.86424994468689,0.004595104217529297,0.004633188247680664,1.01055224609375,1.0105807781219482,0.008197216033935547,0.008241891860961914,1988594,1988594,31051.0,323147,24.937498807907104,24.937513671875
005000909,22.953529296875,22.953550338745117,0.004522560119628906,0.004561185836791992,0.9587534790039063,0.9587819576263428,0.00875267219543457,0.008796930313110352,1886793,1886793,30057.0,315106,23.97233486175537,23.972328125
005000910,22.177119140625,22.177141666412354,0.0044282560348510745,0.004467964172363281,1.073461669921875,1.073491096496582,0.007427616119384766,0.00747227668762207,1686721,1686721,27350.0,297640,23.310255765914917,23.310265625
